id,split
u1002176572529479682,train
u1002190113831452672,train
u1002202559933833216,train
u1002203031050555392,train
u1002203254065950720,val
u1002205166223941632,train
u1002216109326700546,train
u1002233246913089536,train
u1002235842176237569,train
u1002237963152035841,train
u1002238325812580353,train
u1002240421819396096,train
u10022442,val
u1002245174767046656,train
u1002260322923794432,train
u1002275268411707392,train
u1002318827474989058,train
u100232443,train
u1002353937842888711,train
u100237417,test
u1002386521347854337,train
u1002408178632413184,train
u1002409579370536960,val
u1002419363775778818,train
u1002461663239589888,train
u1002513128,val
u1002516833885401089,train
u100253491,train
u1002535749546336256,val
u1002602140714450944,val
u1002602716940599296,test
u1002613563914153984,val
u1002616170372108289,train
u1002616999267262465,test
u1002623044685312000,train
u1002630999052865536,val
u1002638800575782912,test
u1002645247388774400,val
u100267582,train
u1002728984952655872,train
u1002748836,val
u1002755560582860802,val
u1002777697142165504,train
u1002794455,train
u1002797779381465088,train
u100285189,train
u1002878015720730625,train
u1002899059705810944,train
u100292002,train
u100293178,train
u1003004687573020672,train
u1003022989653430272,train
u1003107003693137921,train
u1003126687591264256,val
u100315921,train
u1003179961618874368,val
u10032112,val
u1003238416492920832,test
u1003238526794727424,test
u10032502,val
u1003294597018243072,train
u1003306448116428800,train
u1003306478609010688,val
u1003316864527634433,train
u100334375,train
u1003351361063473152,train
u1003375252955688961,train
u1003378642079109120,train
u1003382969627824128,train
u1003466586114494469,val
u1003482858286022656,train
u1003546005982273537,test
u1003558398,train
u1003575248,val
u1003589475715420161,test
u100361060,train
u1003635296829935616,train
u1003636831,train
u1003651032277233664,train
u1003652995349975041,train
u1003657345329778689,train
u1003662615661436929,train
u1003672320781807616,train
u100367386,train
u1003674890355052544,train
u1003695902731657216,test
u1003702143881056256,test
u1003712331493335040,train
u1003718268484489216,test
u1003720604699316225,val
u1003724318621069314,train
u100375482,train
u1003757702,train
u1003814209665110016,val
u1003817099112919041,train
u1003835173434216451,train
u1003838758221991936,train
u1003871230905208837,train
u1003895325025865730,train
u1003895346395795456,train
u1003905575351091200,train
u1003913756223496192,train
u10039442,train
u100394466,val
u1003956338022592512,test
u1003956656533884928,test
u1003992092,train
u1003992776873132033,train
u1004006532978233347,train
u1004018877339037696,test
u1004025543614959619,test
u1004042562154516482,train
u1004043007551791104,test
u1004065528871247872,train
u1004070871097593861,train
u1004111881,train
u1004114099515641858,val
u1004116646,train
u1004122796753121280,val
u1004171721900023808,train
u1004178194,train
u1004185918792716288,train
u1004195106,train
u1004204969090678784,train
u1004215610325078016,train
u100422461,train
u1004227364,test
u1004247600848035840,train
u1004258515375017984,test
u1004283710924034048,train
u1004297866880475137,train
u1004307667387482112,train
u1004321580401528832,val
u1004350185349242885,val
u100435917,train
u1004364431504166913,train
u1004367799588880384,train
u1004408387352780800,train
u1004445081200279552,train
u1004450613969784832,val
u1004457135713996801,train
u1004457898259255296,val
u1004458652256882688,train
u1004469669670064130,train
u1004471,val
u1004473220,test
u1004480856151343104,train
u1004483816,test
u1004503276518137856,test
u100453427,train
u10045512,train
u1004586426720247808,test
u1004605801,val
u1004620752476237824,train
u10046442,train
u100467866,train
u1004681701644091392,val
u1004694289,train
u1004704254974496768,train
u1004718567835742208,train
u10047202,train
u10047382,train
u1004742187,train
u1004745391,train
u1004772317644419075,train
u1004804740105035777,train
u1004809513491316736,train
u1004816650628227073,train
u1004818385182642176,train
u1004819198508457987,val
u1004821397938606081,train
u1004826108716601344,test
u1004871392083316737,val
u1004945445263536128,train
u1005001743069949952,train
u100501400,train
u1005028594136092673,train
u1005035166513991681,train
u1005055894734897153,train
u1005085697018138624,val
u1005087744027082752,test
u1005090338,val
u10051,train
u1005116389,train
u1005117604464418816,val
u1005143989253824515,train
u1005149657796882433,train
u1005154446484103168,val
u1005155561313308672,train
u1005183901,train
u1005185420,train
u1005210144785903616,train
u1005257166,train
u100534368,test
u1005360344259317761,train
u1005395495949406208,train
u1005422441492082688,val
u1005435280948715525,train
u1005461482996318208,train
u1005471715,train
u1005474192198914048,train
u100549257,train
u1005514008026370049,val
u1005516333214261248,train
u1005535676,train
u1005567482684321792,train
u1005568453,train
u100557989,val
u100561484,train
u1005616619316482049,train
u100564273,train
u1005670219,train
u100568224,train
u1005799404656365568,val
u1005823371144318977,train
u1005846500583321601,test
u100588178,train
u100597661,train
u1006008131745243137,val
u100601004,train
u1006055524666826754,test
u1006068443584581632,train
u1006072884777947137,train
u100608367,train
u1006089829,train
u100610543,train
u1006108579,train
u1006132773327949825,train
u1006135164479553536,train
u1006149495279771648,train
u1006150068314038272,val
u1006167218680451072,val
u1006172279183757312,train
u1006181810177544192,train
u1006197039703699456,val
u1006210004016218117,train
u1006213429122813953,val
u1006227483866337281,train
u1006228225482199040,train
u1006232250,train
u1006253747113259009,val
u1006272236028915712,train
u1006368878396674048,train
u1006372237694328832,train
u1006375332495032322,train
u1006385016450891778,test
u1006419421244678144,train
u10064382,val
u100644272,train
u1006460160922054656,train
u1006480716710989824,test
u1006490087985696773,train
u1006504176283553792,train
u1006506407322144768,train
u1006521,train
u1006521602769481728,test
u1006584840,train
u1006586216,train
u1006589734548799489,train
u1006592770969088000,val
u1006608064219435010,train
u1006610672220889088,train
u1006625792481058817,train
u1006644163,train
u1006649919267069958,train
u1006682172,test
u1006728752,train
u1006779199,val
u1006795705,train
u1006797311593377792,train
u1006801362930237440,train
u1006806862195560448,train
u100690125,test
u1006924817419898885,train
u1006931133848784897,train
u10069612,test
u1006987881859215360,train
u1007012169941123075,train
u1007035113065144320,val
u100703852,train
u1007055264254701568,test
u1007081323,train
u1007118306,val
u1007164431028183040,train
u100718508,train
u1007201775861030912,val
u1007251,val
u100726816,train
u1007269733316677639,train
u1007275595938574341,val
u1007283772876886018,train
u1007284936720740352,val
u10073022,test
u100731073,train
u100731315,train
u1007332777019281409,val
u1007337413616680961,val
u1007340370622078977,train
u1007347536716234752,train
u1007353433177772032,train
u100736811,val
u1007383944315195392,val
u1007389104701673473,train
u1007463154362863617,train
u1007474227639869440,test
u100747431,train
u1007497644351021057,val
u1007505793761964032,val
u1007506423,train
u10075202,train
u100752314,train
u1007546049517346817,val
u1007563102781693952,train
u1007582855113969664,train
u1007618264132980736,train
u1007655562908139520,train
u1007659496,train
u10076782,train
u1007735126225121280,train
u1007749631818821638,train
u10078,train
u10078042,train
u1007882312,train
u10079052,test
u10079372,train
u1007956112388362240,train
u100798716,train
u100802089,train
u1008070605424480256,val
u1008088814156484608,train
u100809366,train
u1008136499005657088,train
u100818837,train
u1008259824247713792,val
u1008265218,train
u100828637,val
u1008331972144451584,train
u1008414644820639745,train
u1008444521494056960,val
u1008463252832047104,test
u1008472282879201281,test
u1008491178088652800,train
u1008492120125030400,train
u1008563135178006528,train
u100860790,train
u1008635419,train
u1008649805093064704,train
u1008691873,train
u1008741229415358464,val
u100878076,train
u1008793432452722689,val
u1008794887720972290,train
u1008799943312715777,train
u1008808633679990785,train
u100883962,train
u1008900710480539648,test
u1008903236,test
u1008924960037826561,train
u1008926867875753985,train
u1008927348807225346,test
u1008941161476546561,test
u1008974106375548928,train
u1008978534,train
u10089832,train
u1008988610555674625,train
u1009006866020683776,train
u1009020348019433472,train
u1009046609424941056,train
u1009055197,train
u1009061228566794240,train
u10090732,train
u1009075586709577728,train
u1009081794371579904,train
u1009082364755095552,train
u1009084690333085696,test
u1009087996790964225,val
u1009092167841828866,train
u1009105859253882880,train
u1009109762460569600,train
u1009126632450351104,train
u1009132767538446337,train
u1009135067153616896,train
u1009150409280237568,train
u1009158503901138944,val
u100922584,test
u1009245427,test
u1009301340248371201,train
u1009341595173433344,val
u1009374433499369472,train
u1009429031920586753,val
u1009444774422761473,val
u100946827,train
u1009471243,train
u1009473590935347201,train
u1009481823531905024,train
u1009495181882773506,test
u1009527883151310848,train
u1009547176270286848,train
u1009564555,train
u1009577803304656896,train
u1009580174956826630,val
u1009592004,val
u1009592428117086208,train
u1009603460,train
u1009646450299596800,train
u10096552,train
u100966793,train
u1009668373,train
u1009684705,val
u1009692722976788480,train
u1009716150895341568,train
u1009741566,train
u1009797164,test
u1009799569390096384,train
u1009823041877135361,train
u1009834545728847872,val
u10098362,val
u1009842140480966656,val
u1009851238761066496,test
u1009861266725376000,train
u1009870364111859712,val
u1009900083402461185,train
u10099292,train
u1009982235087237120,val
u101002059,train
u1010033533279014913,train
u1010049076434358273,val
u101005636,train
u1010077800441765888,train
u1010089878,val
u1010094711904899072,val
u1010106141823721472,val
u1010181,val
u1010196879131529217,train
u1010203568,val
u10102042,train
u1010212748029022208,val
u101021297,test
u101027306,test
u1010290538086653953,train
u1010321477772697601,train
u1010373695204782082,val
u1010384732759252997,test
u1010468647,val
u1010498049058201600,train
u1010506382,val
u1010510647082266624,val
u1010536067886387200,train
u1010583751460622337,train
u101058456,train
u1010593116,train
u1010644878043144192,train
u101064667,val
u101065133,train
u1010656401268658176,train
u1010665498168692743,train
u101067053,val
u1010678065398087681,test
u1010684073038176256,train
u1010705857,train
u1010715807565918208,train
u1010733916972560384,train
u1010760022744129538,train
u1010768532756402176,train
u1010775700872355841,train
u1010779262754775040,train
u1010801130241249285,train
u101080191,val
u1010810106,train
u101081754,train
u101083742,test
u101087471,val
u1010886935106056192,test
u1010898326,train
u1010901148008681478,train
u1010906931131768832,train
u1010914442761076736,val
u10109182,train
u1010936341759176704,test
u101094027,test
u1010953741,train
u1010966422443384832,val
u1010979569501863936,train
u1010998194,val
u1011008340367953920,train
u1011011646075146242,val
u1011084486698831872,val
u1011086938990940160,train
u1011094485038747648,train
u1011129121,train
u1011190414550945794,val
u1011215490235228160,val
u1011273221583319044,train
u1011294968521117697,train
u1011297791103074305,train
u1011331882733039618,train
u1011348047094321153,val
u1011380631735959552,train
u1011404005262569472,train
u1011406980,train
u1011438486073872385,train
u1011559160540876800,train
u1011572728409845760,train
u1011580472709787648,train
u1011605395,train
u10116112,train
u1011620620768088064,train
u1011630535,train
u101163662,train
u1011637812603518976,train
u1011639290437259264,train
u1011640329647394816,train
u10116502,train
u1011666390741278725,val
u101171381,test
u101171811,train
u1011718803254804480,train
u1011746269,train
u1011757666484379649,train
u1011809173254877184,val
u1011816374379929600,train
u101186457,val
u1011903782,train
u1011960443949240320,test
u1011967081,train
u1011970623470489601,train
u1011975059299323904,train
u1011980313440878594,val
u1011989210797101056,train
u1011998658504454144,train
u1012017496281346048,train
u1012018961314205696,train
u1012020753246621696,train
u1012063120607645697,val
u1012066262397177856,train
u1012071,val
u1012078117547118593,test
u1012109886,train
u1012121021711728640,test
u1012125662117851136,train
u101214835,train
u1012173215899123712,train
u1012216687456743424,train
u1012242637976371200,train
u1012268385789513729,train
u1012340322246983682,train
u1012351320953708545,train
u1012355856103563264,test
u1012368265753055234,val
u1012369581896273920,test
u1012392833834029056,val
u1012398905437360128,train
u1012425122295308290,train
u1012448981207613440,val
u1012457028667826177,train
u1012472611,train
u1012489482,train
u1012501,train
u101262586,val
u1012636259020361728,train
u101264566,val
u10126672,val
u1012678974915432448,train
u1012690798536732672,train
u1012721484412801024,train
u1012809976224641024,train
u101283878,test
u1012841563699830784,train
u1012848315744993280,val
u1012910240554250240,train
u101291114,train
u101291642,test
u101294930,train
u1013012350042066945,test
u1013028682695311362,train
u1013047313038577664,train
u1013054591922040832,train
u101311381,val
u1013118530835759104,test
u1013135989,train
u1013151066299478016,test
u101317532,train
u101326157,train
u1013261788555694080,train
u1013313331287949312,test
u101331661,train
u1013374544,train
u1013405069256118272,val
u101341169,train
u1013415776383062022,train
u1013418118490787840,train
u1013426452719599617,train
u101344552,train
u1013455002,train
u1013472890438737927,val
u101348921,val
u1013536262458728449,train
u101354595,train
u1013558329,train
u10135862,val
u101360652,train
u1013634584448196608,train
u1013678320636973056,test
u1013680876926980097,train
u1013705742,train
u1013723691815927808,train
u1013731395393474560,train
u1013736762580066304,train
u1013753804112703488,val
u1013786687330226176,train
u1013800890,val
u1013802741272141824,train
u1013847446026407936,train
u1013869770981236736,test
u1013890285523296258,train
u1013916412325322757,train
u1013923607481868288,val
u1013941702820880384,train
u101397097,train
u1013971684624424960,train
u101397228,test
u101399012,train
u1013991913064550402,train
u1014015888,train
u1014026853353308161,train
u1014042516210028544,val
u1014080178,val
u1014164476801814528,train
u1014175658199613440,val
u1014237373868183553,train
u1014263782493818880,test
u1014273249453248512,train
u1014295296,train
u101430084,test
u1014366500,train
u1014417365713522688,train
u101444775,val
u101447362,train
u1014475271397928965,test
u1014492737155059712,train
u1014511957,val
u1014518078,val
u1014534632841367552,train
u1014553522698768387,train
u1014556784994996227,train
u1014583426291077120,train
u1014618044642091008,train
u1014636380838879233,test
u1014644239601487873,train
u101472757,train
u1014728560727265280,train
u101474181,train
u1014829559827566592,train
u1014829567213744128,train
u1014864886915108869,val
u1014868411275411457,train
u1014873776801099776,val
u1014895851888676866,train
u1014921591791194113,train
u1014922465,val
u1014940385498431488,val
u101494182,train
u1014945529,test
u1014962123087204353,train
u1014994110040510464,train
u1015008139270414336,train
u101507064,train
u1015139262877044737,train
u1015196564690743296,train
u1015205255968149504,test
u1015224122857713666,train
u1015228787280285696,val
u1015232563554799616,train
u1015236732516818946,test
u1015241814,train
u1015245563795681280,val
u1015246770425786368,train
u1015274434003980289,train
u101530940,test
u1015355235177508864,train
u1015416573731930118,train
u1015448038989619201,train
u1015534555384766464,train
u1015579177704181762,val
u1015653433486073862,train
u1015667432222908417,train
u1015681547415031808,train
u1015681857973882881,test
u10157,train
u101580574,train
u1015811186,val
u101582811,val
u101583051,train
u101584084,train
u1015848216,test
u101588397,train
u1015890234939269120,test
u101589067,val
u1015938523164303360,train
u1015958510935293952,train
u101597075,train
u1015995405673422849,train
u1016004827174916096,train
u1016034262934573056,val
u101603995,train
u1016049301846405123,train
u101605014,train
u1016054014373519360,val
u1016059981907386368,val
u1016062530,train
u1016073106186571776,val
u101609102,train
u101610240,train
u101613447,train
u1016148066850648064,train
u1016198241417822208,train
u101621104,val
u1016213292,train
u101624176,train
u1016244928945541120,train
u1016262870,train
u10163042,train
u1016328380134973440,val
u1016337691921846272,train
u1016356467073585152,train
u1016359279895474176,train
u1016368230640836609,train
u1016371771786735616,train
u101638451,train
u1016415942148947968,train
u1016422688154267648,train
u1016450101210779648,val
u1016470827775086592,train
u101649970,train
u1016509788652482562,test
u1016532597432725506,train
u1016559018,train
u101660102,train
u1016616006796574726,train
u1016639756812288000,train
u1016659760672886785,val
u1016678344706969602,test
u1016679763807784961,train
u1016696283937947648,val
u1016710459,train
u1016712954228572160,test
u1016718119333744641,train
u1016781948038066176,train
u10167932,train
u10168082,train
u10168172,train
u1016842037142966277,val
u1016868056642056197,train
u1016883452023472128,train
u1016908862136332288,train
u1016966986738425857,train
u1016999096220037121,train
u1017063166784757761,train
u1017096025843134467,train
u1017108590157582337,train
u1017119179449643008,train
u101712079,train
u1017141229933486081,train
u101716000,train
u1017185747768467457,train
u101720224,train
u1017212128149663750,val
u1017220813727109121,val
u1017220874,train
u1017224055588622338,train
u1017233560585973761,val
u1017248644918112258,train
u1017276856003854336,train
u1017318347866853377,train
u1017373138500378624,test
u1017385070083141632,train
u1017402014744154112,val
u1017402687023820801,train
u1017415478086529025,val
u101741693,train
u1017428432,val
u1017429942,train
u1017446827715592194,val
u1017449469695221761,train
u101747568,train
u1017478326,test
u1017504512179953664,train
u1017513439462211585,train
u101753053,test
u1017538419419942917,train
u1017540973562355712,test
u1017541345865621506,train
u1017551740319797248,train
u1017590606061883392,val
u1017594419346903040,train
u1017603618,test
u1017628880503361542,val
u1017637447,train
u101766148,train
u1017670702126845952,train
u1017699069177802753,train
u1017738891758129156,val
u1017744250388217862,train
u1017751926673412096,val
u101775528,test
u1017766609648308225,train
u1017777566760030208,train
u1017781116663730177,test
u1017782782854983680,train
u101779040,val
u1017794457851301888,train
u10178,val
u10178052,train
u1017811719861792769,train
u1017819745880543238,test
u1017853450233831430,val
u1017883562450849794,train
u101793450,train
u1017955468499668993,train
u1017959664074575875,train
u101797894,train
u101800828,train
u101800941,train
u1018010884193636357,train
u101802390,train
u1018030314659164160,train
u101803450,val
u101804174,train
u1018042566317502470,val
u101805159,val
u101806793,val
u1018078984280657920,train
u101810581,test
u1018107779326898176,train
u1018131672313876481,train
u1018144154445144064,train
u1018151225554944001,train
u101816065,train
u1018160781014323205,train
u101817931,train
u101818332,train
u1018196289320873986,train
u1018201089357897728,train
u101821953,train
u1018222248,train
u101823139,train
u1018268773,train
u101829945,train
u101833150,train
u1018348406652264448,train
u101841496,train
u1018425398869282817,train
u10184292,test
u101848693,val
u1018494942,test
u1018537784682795008,train
u1018543776128696321,train
u10185562,val
u1018558062444064768,val
u1018578188899794944,val
u1018582177381081095,train
u101858228,train
u1018599454599991297,train
u101860204,train
u1018620729070243841,train
u101862180,train
u101863627,val
u1018665840424685570,train
u1018734414245720065,train
u1018755160733044738,train
u1018782811,val
u1018787154695213056,val
u1018833763336380417,train
u101884137,test
u1018876515197517824,test
u1018880853278121984,val
u101889708,val
u1018897773515722752,train
u1018902776007483393,train
u1018921,train
u1018931868564180993,test
u10189332,train
u1018956622717210626,train
u101895924,val
u1018960321476792325,val
u1018962877,train
u1018971566162444289,train
u1019000237606617089,train
u10190632,train
u101906681,train
u1019121058069217280,train
u1019131176747982849,val
u1019149191275216896,train
u1019149974,test
u1019150447603519494,test
u1019188946486452224,val
u101923438,train
u1019237270593810432,train
u1019256176469409792,train
u1019271778768703490,val
u1019283739195699204,train
u1019298831190683648,train
u1019314864903409670,val
u1019319160013250560,train
u1019321315126280192,test
u1019337074,train
u1019375935,train
u1019381,val
u10193812,train
u10194392,train
u1019458934934040576,train
u10194682,train
u1019469630,train
u1019503378517200897,train
u1019519323877072896,train
u1019551486324461568,val
u1019565941015875585,val
u1019566485000347648,train
u1019581523849334785,val
u1019593080188669952,train
u1019618165007896577,train
u1019625786360389632,train
u1019659593302110212,train
u101970219,train
u101979623,train
u1019822809,train
u1019883250670624768,train
u1019887446417215489,train
u1019896476548268032,train
u1019929188848070656,val
u1019934654709882880,train
u10199362,train
u1019944707311403008,train
u101995327,train
u1019954148526231552,val
u1019954663221813248,train
u1019955878961799168,train
u1019959812,train
u1019961372908707840,train
u1019967199,train
u1019973910429872128,test
u1019974187975430144,train
u1019986819,train
u1020038536245006337,test
u1020043318380593152,train
u1020049380030779392,train
u1020053469787566082,train
u1020058453,train
u1020072608,test
u1020079222516199424,val
u1020088099,train
u1020102973324529665,val
u102011281,train
u102013970,train
u102023574,val
u1020241414440054784,train
u102027437,train
u1020285877522640896,test
u102030594,test
u1020311509,train
u102032113,train
u1020344778,train
u1020352964,train
u1020382228155633666,train
u1020385106727440384,train
u1020405030791319552,val
u1020415686,train
u1020439796609572864,val
u1020444006,train
u102044458,test
u102046114,train
u1020463023792828418,train
u1020470126,train
u1020482808,val
u1020517686,val
u1020537886062596096,train
u1020561428,train
u1020580332016361472,train
u1020580608274202624,test
u1020584289031933952,train
u1020586868,train
u1020593334824288257,val
u1020618121135128577,train
u1020646724,train
u1020662868524511233,val
u1020673882980855808,val
u1020686023129550849,val
u1020686306,train
u1020686783246454784,train
u102069506,train
u102071743,train
u1020720962,train
u1020728958,val
u102074868,train
u10207502,train
u1020750443960561670,train
u1020750935906308098,val
u102075301,train
u1020781144491593728,train
u102080846,test
u1020864298246164480,test
u1020870225821032448,test
u102094084,train
u10209472,val
u102094857,val
u1020952663,train
u102095809,val
u1020971456556163072,train
u102104262,train
u102105346,train
u102108884,train
u1021090965015035904,train
u1021103356184588288,train
u1021251042,test
u102129320,train
u1021306902,train
u102131865,train
u1021355762575073281,train
u1021382089059590144,train
u1021396745111068676,test
u1021427317481050112,train
u102143400,val
u102148991,train
u102149915,train
u1021506550131830784,train
u10215212,val
u102152197,train
u102154320,train
u102154357,val
u102156742,val
u102157523,train
u1021581527707275269,train
u1021583392788246528,train
u102161666,train
u102161702,val
u1021643080208801792,train
u102164528,train
u102167281,val
u102168331,train
u1021692544026066944,train
u1021693481906003968,val
u1021702268830146561,train
u102172021,train
u1021752005893783552,val
u1021763998600122374,train
u102177504,train
u102177669,train
u102179067,val
u102179167,train
u1021809792082358272,train
u1021814599308464128,train
u1021817359,train
u1021825972004315136,train
u1021836278541836293,train
u1021851439730057216,train
u1021875830794924034,val
u102187929,train
u1021910107419041792,train
u1021915018814734336,train
u1021927002058702849,train
u1022010560,train
u1022028994772910086,train
u1022041399,train
u1022056380235018240,val
u1022064478580436992,test
u1022084347,val
u102208685,train
u10220892,train
u1022092129173221376,test
u102209742,train
u1022099420295380993,val
u1022127404,test
u102215250,train
u102217430,val
u1022190109154783232,train
u1022195879627968512,val
u1022199504987205638,train
u1022205418410520579,train
u102220896,train
u1022239538629029888,train
u1022257111621926913,train
u1022306779382726657,train
u1022312983828021248,val
u1022324783428526080,val
u102234123,train
u1022382600,train
u102238505,train
u1022404081523077125,val
u1022440894987939841,train
u102244899,val
u1022457684,train
u1022484212962807810,val
u1022506997042819072,train
u1022529937,train
u1022545906032369667,train
u1022582348989300739,val
u1022598244088475648,train
u1022601625897197568,train
u1022608703898439680,train
u10226092,train
u102263558,train
u1022663969679585282,val
u1022686117,train
u102268884,test
u1022689388436701186,train
u1022693675250249729,train
u102270669,train
u102275867,val
u102278432,train
u1022795172671905792,train
u1022808628858966016,train
u1022821051187822593,train
u1022838289,train
u1022849575982391296,train
u1022853254273818625,val
u1022857466,val
u1022879632998055936,train
u1022884619253936128,train
u1022894411728936960,val
u1022902322580672514,val
u1022928404298035200,train
u1022936236418367489,test
u102294699,train
u1022953786032177153,train
u102296197,train
u1022991279104380929,train
u102301136,train
u1023027195462148096,val
u1023034458113499136,val
u1023045913994919936,test
u1023072078,val
u10230812,val
u1023135794939265024,val
u1023182503895609344,train
u10232022,train
u1023209418874212352,train
u1023224693795381251,train
u1023230425861373953,train
u1023237285897224192,train
u1023247798114942976,train
u102325445,train
u102325657,train
u102327070,val
u102328245,train
u102337890,train
u102338320,train
u102340461,train
u1023497524072644614,train
u10235102,test
u1023533797449580544,test
u1023606049893306368,train
u102362214,val
u1023698377,val
u1023727774291308545,train
u102379281,train
u1023828349922230272,train
u1023842898314444800,train
u102386194,train
u1023862301517131776,train
u1023863985177853952,val
u10238842,train
u10239,train
u102391534,train
u1023927842609012736,train
u1023935214,test
u102395241,train
u1023954298508640256,train
u102397497,train
u1023987295,train
u1023991506934419456,train
u1023992150,val
u1024031017303244800,train
u102403370,val
u1024090562511687680,train
u1024098299169701888,val
u102412944,val
u102413533,val
u102417993,train
u102418302,train
u1024227253876609024,val
u1024254275256561664,train
u1024269101164834816,train
u1024278084,train
u1024287811208327168,train
u102429018,val
u1024352074048434177,train
u1024375328964112385,test
u102439353,train
u1024486231,train
u102448827,val
u1024500831306084352,train
u102450246,train
u102451718,train
u102455692,val
u1024564673016987654,val
u1024573431315091458,val
u10245752,train
u1024581228,train
u1024584276879335424,train
u1024617904426442752,train
u1024660425382801408,val
u102466223,train
u1024667364,train
u1024679980800921602,train
u102468605,train
u1024688371791093761,train
u1024695303067377666,train
u1024699964071522305,val
u1024720589838340096,train
u1024724963343908864,train
u1024734003549675521,train
u1024740692936089600,val
u1024748669990522881,train
u1024751975685152768,train
u102476242,test
u102478586,val
u1024799545,train
u102480261,train
u1024834274,train
u1024843087665872896,train
u1024871473276760066,train
u1024895094875406336,val
u1024902041037090816,train
u102497329,train
u1024982056500166656,train
u1025020444796231681,train
u1025037163291914240,val
u1025100690476154881,val
u1025113070933356544,val
u1025127014351691778,train
u102512818,train
u1025136693014347776,val
u1025146240353349637,train
u1025195576038551552,train
u1025216100718583809,val
u1025289087190790144,test
u10252962,train
u1025311907786514433,val
u1025316884751761409,train
u1025322333534396416,train
u1025333759573471233,test
u1025362144060235776,val
u1025381464249184258,val
u1025386437439574016,train
u1025395112271065088,test
u1025428983393935360,test
u1025434607641092098,test
u1025489425495678977,train
u1025505091,train
u1025522203,train
u1025538004167864321,train
u1025552701868912640,train
u102557437,train
u1025580128,train
u1025585755,train
u1025617471,train
u1025692751847989248,train
u1025757074863648770,val
u1025760437239873537,train
u1025797942580396032,train
u10258252,val
u1025838312345530368,val
u1025838505245794309,train
u102583910,test
u1025841643,train
u1025848376708001792,val
u1025882057379999744,train
u102594136,train
u102594253,test
u1025953937373810688,train
u1025967921472786432,train
u102601082,train
u1026016371178536961,train
u1026018296230039552,val
u1026067959272353792,train
u1026073957403897862,train
u1026125819251445761,train
u1026158174,train
u1026161056803106816,train
u1026205902,train
u1026216175527763968,val
u1026230382323265538,train
u102625641,train
u1026321,train
u1026332905,train
u1026379086443241472,test
u102638431,train
u1026394277444837377,val
u1026411197669625858,train
u10264122,train
u1026414410452152320,test
u1026437205789761537,train
u1026457515444318208,train
u1026460514,train
u1026541,train
u1026546649823305729,train
u102655825,val
u1026577459712421888,test
u1026584006131937280,train
u102661215,train
u1026622212407611392,train
u102667752,train
u1026721967066427392,val
u1026730669597253633,train
u1026753764345008128,train
u102677158,val
u1026795844232781825,train
u1026812694,train
u1026828221642354688,val
u102684168,train
u1026848976144871424,train
u1026861723091959809,train
u1026866318614482951,train
u102687142,train
u10268782,train
u1026886812336365569,train
u1026903001431138304,test
u1026986793059721218,train
u1026992398885367809,train
u1027041118641221632,train
u102704469,test
u102707504,train
u1027075048539123712,val
u102708234,val
u1027086740782178304,train
u1027098097,train
u1027105003159412736,train
u102711555,train
u1027118841988505602,train
u1027127493730492416,val
